step, time, x, y, vx, vy, ax, ay
53, 53, 527458.3650313376, 6766599.092533379, 9940.478783594106, -458.89362958609024, -0.6724438477081887,-8.626572695290456
54, 54, 537398.1713710839, 6766131.572331098, 9939.806339746397, -467.5202022813807, -0.6850208916643832,-8.624780897507495
55, 55, 547337.2926899387, 6765655.427347919, 9939.121318854734, -476.1449831788882, -0.6975917414813472,-8.622955926556987
56, 56, 557275.716417052, 6765170.659408813, 9938.423727113252, -484.7679391054452, -0.7101562844634463,-8.621097811574908
57, 57, 567213.4299878808, 6764677.270371896, 9937.713570828788, -493.38903691702006, -0.7227144080747361,-8.619206582217041
58, 58, 577150.4208443015, 6764175.262128397, 9936.990856420713, -502.0082434992371, -0.7352659999417422,-8.61728226865788
59, 59, 587086.6764347223, 6763664.636602629, 9936.255590420771, -510.625525767895, -0.7478109478562338,-8.615324901589537
60, 60, 597022.1842141952, 6763145.39575196, 9935.507779472915, -519.2408506694845, -0.76034913977799,-8.61333451222064
61, 61, 606956.9316445284, 6762617.541566778, 9934.747430333136, -527.8541851817051, -0.7728804638375563,-8.611311132275201
62, 62, 616890.9061943977, 6762081.076070464, 9933.9745498693, -536.4654963139803, -0.7854048083389937,-8.609254793991468
63, 63, 626824.0953394587, 6761536.001319356, 9933.18914506096, -545.0747511079718, -0.7979220617626198,-8.607165530120765
64, 64, 636756.4865624579, 6760982.319402718, 9932.391222999197, -553.6819166380925, -0.8104321127677385,-8.605043373926302
65, 65, 646688.0673533443, 6760420.032442706, 9931.580790886428, -562.2869600120188, -0.8229348501953646,-8.602888359181982
66, 66, 656618.8252093805, 6759849.142594335, 9930.757856036233, -570.8898483712007, -0.835430163070935,-8.600700520171175
67, 67, 666548.7476352536, 6759269.652045444, 9929.922425873161, -579.4905488913719, -0.8479179406070159,-8.59847989168549
68, 68, 676477.8221431861, 6758681.5630166605, 9929.074507932553, -588.0890287830574, -0.8603980722059975,-8.596226509023518
69, 69, 686406.0362530465, 6758084.877761369, 9928.214109860348, -596.6852552920809, -0.8728704474627792,-8.593940407989566
70, 70, 696333.3774924594, 6757479.598565669, 9927.341239412885, -605.2791957000704, -0.8853349561674461,-8.591621624892358
71, 71, 706259.833396916, 6756865.727748344, 9926.455904456718, -613.8708173249628, -0.8977914883079385,-8.589270196543753
72, 72, 716185.3915098845, 6756243.267660822, 9925.55811296841, -622.4600875215066, -0.9102399340727051,-8.586886160257386
73, 73, 726110.0393829189, 6755612.22068714, 9924.647873034339, -631.0469736817639, -0.9226801838533533,-8.584469553847354
74, 74, 736033.7645757693, 6754972.589243904, 9923.725192850485, -639.6314432356113, -0.9351121282472865,-8.582020415626864
75, 75, 745956.5546564915, 6754324.375780253, 9922.790080722238, -648.2134636512382, -0.9475356580603296,-8.579538784406836
76, 76, 755878.3972015557, 6753667.582777817, 9921.842545064177, -656.793002435645, -0.9599506643093496,-8.577024699494537
77, 77, 765799.2797959555, 6753002.212750682, 9920.882594399867, -665.3700271351396, -0.9723570382248585,-8.57447820069215
78, 78, 775719.1900333172, 6752328.268245346, 9919.910237361642, -673.9445053358318, -0.9847546712536128,-8.571899328295373
79, 79, 785638.1155160075, 6751645.751840682, 9918.925482690389, -682.5164046641271, -0.9971434550611968,-8.569288123091956
80, 80, 795556.0438552429, 6750954.666147894, 9917.928339235328, -691.085692787219, -1.0095232815346018,-8.566644626360274
81, 81, 805472.9626711967, 6750255.013810481, 9916.918815953793, -699.6523374135793, -1.0218940427847827,-8.563968879867794
82, 82, 815388.8595931077, 6749546.797504188, 9915.89692191101, -708.2163062934471, -1.034255631149223,-8.561260925869679
83, 83, 825303.7222593876, 6748830.019936969, 9914.86266627986, -716.7775672193168, -1.0466079391944654,-8.558520807107179
84, 84, 835217.5383177283, 6748104.683848942, 9913.816058340666, -725.3360880264239, -1.0589508597186523,-8.555748566806193
85, 85, 845130.2954252092, 6747370.792012349, 9912.757107480948, -733.8918365932301, -1.0712842857540381,-8.552944248675663
86, 86, 855041.9812484044, 6746628.347231507, 9911.685823195194, -742.4447808419058, -1.0836081105695061,-8.55010789690608
87, 87, 864952.583463489, 6745877.352342769, 9910.602215084624, -750.9948887388118, -1.095922227673059,-8.547239556167868
88, 88, 874862.089756346, 6745117.810214474, 9909.506292856951, -759.5421282949796, -1.1082265308143062,-8.544339271609813
89, 89, 884770.4878226721, 6744349.723746907, 9908.398066326137, -768.0864675665895, -1.1205209139869412,-8.541407088857476
90, 90, 894677.7653680843, 6743573.095872251, 9907.277545412151, -776.6278746554469, -1.1328052714311987,-8.53844305401155
91, 91, 904583.9101082251, 6742787.929554542, 9906.14474014072, -785.1663177094584, -1.1450794976363077,-8.535447213646243
92, 92, 914488.9097688681, 6741994.227789618, 9904.999660643083, -793.7017649231046, -1.1573434873429298,-8.532419614807633
93, 93, 924392.7520860239, 6741191.99360508, 9903.84231715574, -802.2341845379123, -1.1695971355455823,-8.529360305011982
94, 94, 934295.4248060441, 6740381.230060237, 9902.672720020195, -810.7635448429243, -1.1818403374950568,-8.52626933224409
95, 95, 944196.9156857268, 6739561.940246062, 9901.4908796827, -819.2898141751683, -1.1940729887008181,-8.52314674495558
96, 96, 954097.2124924208, 6738734.127285142, 9900.296806694, -827.8129609201239, -1.2062949849333917,-8.51999259206319
97, 97, 963996.3030041299, 6737897.794331631, 9899.090511709066, -836.3329535121871, -1.2185062222267433,-8.516806922947056
98, 98, 973894.1750096168, 6737052.944571195, 9897.872005486839, -844.8497604351342, -1.2307065968806412,-8.513589787448975
99, 99, 983790.8163085068, 6736199.581220972, 9896.64129888996, -853.3633502225831, -1.2428960054630083,-8.510341235870651
100, 100, 993686.2147113913, 6735337.707529514, 9895.398402884497, -861.8736914584538, -1.255074344812257,-8.50706131897191
101, 101, 1003580.3580399309, 6734467.326776736, 9894.143328539685, -870.3807527774256, -1.2672415120396223,-8.503750087968962
102, 102, 1013473.2341269585, 6733588.442273871, 9892.876087027646, -878.8845028653946, -1.279397404531464,-8.500407594532541
103, 103, 1023364.8308165816, 6732701.057363411, 9891.596689623115, -887.3849104599271, -1.2915419199515756,-8.497033890786165
104, 104, 1033255.1359642848, 6731805.1754190605, 9890.305147703164, -895.8819443507133, -1.3036749562434637,-8.493629029304257
105, 105, 1043144.1374370317, 6730900.799845681, 9889.00147274692, -904.3755733800175, -1.3157964116326235,-8.490193063110336
106, 106, 1053031.823113367, 6729987.934079237, 9887.685676335288, -912.8657664431279, -1.327906184628798,-8.486726045675157
107, 107, 1062918.1808835177, 6729066.581586748, 9886.357770150658, -921.352492488803, -1.3400041740282225,-8.483228030914837
108, 108, 1072803.1986494944, 6728136.745866229, 9885.01776597663, -929.8357205197178, -1.3520902789158584,-8.479699073188995
109, 109, 1082686.864325192, 6727198.430446636, 9883.665675697715, -938.3154195929068, -1.364164398667611,-8.476139227298836
110, 110, 1092569.1658364912, 6726251.638887816, 9882.301511299047, -946.7915588202056, -1.3762264329525353,-8.472548548485268
111, 111, 1102450.0911213572, 6725296.374780447, 9880.925284866094, -955.2641073686909, -1.3882762817350236,-8.468927092426961
112, 112, 1112329.6281299414, 6724332.641745986, 9879.537008584359, -963.7330344611179, -1.400313845276987,-8.465274915238428
113, 113, 1122207.7648246805, 6723360.4434366105, 9878.136694739082, -972.1983093763563, -1.4123390241400156,-8.461592073468077
114, 114, 1132084.4891803954, 6722379.783535161, 9876.724355714941, -980.6599014498244, -1.424351719187527,-8.457878624096246
115, 115, 1141959.789184391, 6721390.6657550875, 9875.300003995753, -989.1177800739206, -1.4363518315869048,-8.454134624533244
116, 116, 1151833.6528365551, 6720393.0938403895, 9873.863652164166, -997.5719146984538, -1.448339262811613,-8.450360132617355
117, 117, 1161706.0681494565, 6719387.071565558, 9872.415312901354, -1006.0222748310712, -1.460313914643307,-8.446555206612844
118, 118, 1171577.0231484433, 6718372.60273552, 9870.95499898671, -1014.468830037684, -1.472275689173923,-8.442719905207953
119, 119, 1181446.5058717409, 6717349.691185578, 9869.482723297537, -1022.911549942892, -1.4842244888077532,-8.438854287512864
120, 120, 1191314.5043705497, 6716318.340781348, 9867.998498808729, -1031.3504042304048, -1.4961602162635157,-8.434958413057705
121, 121, 1201181.0067091421, 6715278.555418705, 9866.502338592465, -1039.7853626434626, -1.5080827745763912,-8.431032341790443
122, 122, 1211046.00096496, 6714230.33902372, 9864.994255817888, -1048.216394985253, -1.5199920671000668,-8.427076134074886
123, 123, 1220909.4752287108, 6713173.695552601, 9863.474263750788, -1056.6434711193278, -1.5318879975087463,-8.423089850688571
124, 124, 1230771.417604464, 6712108.628991631, 9861.942375753279, -1065.0665609700163, -1.543770469799159,-8.419073552820711
125, 125, 1240631.8162097477, 6711035.143357108, 9860.398605283479, -1073.485634522837, -1.5556393882925454,-8.415027302070088
126, 126, 1250490.6591756428, 6709953.242695283, 9858.842965895186, -1081.900661824907, -1.5674946576366295,-8.410951160442945
127, 127, 1260347.9346468803, 6708862.931082298, 9857.27547123755, -1090.31161298535, -1.57933618280758,-8.406845190350879
128, 128, 1270203.630781935, 6707764.212624122, 9855.696135054743, -1098.7184581757008, -1.5911638691119523,-8.402709454608718
129, 129, 1280057.7357531206, 6706657.091456492, 9854.10497118563, -1107.1211676303094, -1.6029776221886163,-8.398544016432378
130, 130, 1289910.237746684, 6705541.571744845, 9852.501993563441, -1115.5197116467418, -1.614777348010667,-8.394348939436702
131, 131, 1299761.1249628996, 6704417.657684259, 9850.88721621543, -1123.9140605861785, -1.626562952887325,-8.39012428763332
132, 132, 1309610.385616162, 6703285.3534993855, 9849.260653262541, -1132.304184873812, -1.638334343465816,-8.385870125428472
133, 133, 1319458.0079350811, 6702144.663444386, 9847.622318919075, -1140.6900549992404, -1.6500914267332378,-8.381586517620821
134, 134, 1329303.9801625735, 6700995.591802869, 9845.972227492342, -1149.0716415168613, -1.661834110018412,-8.377273529399273
135, 135, 1339148.2905559558, 6699838.142887822, 9844.310393382324, -1157.4489150462605, -1.6735623009937166,-8.37293122634076
136, 136, 1348990.927387037, 6698672.32104155, 9842.63683108133, -1165.8218462726013, -1.6852759076769075,-8.368559674408049
137, 137, 1358831.8789422107, 6697498.130635602, 9840.951555173653, -1174.1904059470094, -1.6969748384329206,-8.364158939947492
138, 138, 1368671.133522546, 6696315.576070716, 9839.25458033522, -1182.5545648869568, -1.7086590019756618,-8.359729089686825
139, 139, 1378508.679443879, 6695124.661776739, 9837.545921333245, -1190.9142939766436, -1.7203283073697766,-8.355270190732906
140, 140, 1388344.505036905, 6693925.392212572, 9835.825593025875, -1199.2695641673765, -1.7319826640324074,-8.350782310569466
141, 141, 1398178.5986472669, 6692717.771866093, 9834.093610361842, -1207.620346477946, -1.743621981734936,-8.346265517054869
142, 142, 1408010.948635647, 6691501.805254098, 9832.349988380107, -1215.966611995001, -1.7552461706047,-8.341719878419797
143, 143, 1417841.5433778565, 6690277.496922225, 9830.594742209501, -1224.3083318734207, -1.7668551411267097,-8.337145463265019
144, 144, 1427670.3712649248, 6689044.851444888, 9828.827887068375, -1232.6454773366856, -1.7784488041453377,-8.332542340559081
145, 145, 1437497.420703189, 6687803.873425211, 9827.04943826423, -1240.9780196772447, -1.7900270708659887,-8.327910579635995
146, 146, 1447322.6801143824, 6686554.567494954, 9825.259411193365, -1249.3059302568806, -1.8015898528567673,-8.323250250192961
147, 147, 1457146.137935723, 6685296.938314447, 9823.457821340508, -1257.6291805070737, -1.8131370620501177,-8.318561422288035
148, 148, 1466967.7826200014, 6684030.990572518, 9821.644684278457, -1265.9477419293617, -1.824668610744448,-8.313844166337798
149, 149, 1476787.602635669, 6682756.728986422, 9819.820015667712, -1274.2615860956994, -1.8361844116057484,-8.309098553115055
150, 150, 1486605.5864669252, 6681474.158301773, 9817.983831256106, -1282.5706846488144, -1.8476843776691736,-8.304324653746443
151, 151, 1496421.7226138036, 6680183.28329247, 9816.136146878436, -1290.8750093025608, -1.8591684223406355,-8.299522539710146
152, 152, 1506235.9995922598, 6678884.108760627, 9814.276978456095, -1299.1745318422709, -1.8706364593983484,-8.29469228283347
153, 153, 1516048.4059342565, 6677576.639536502, 9812.406341996697, -1307.4692241251043, -1.8820884029943887,-8.289833955290538
154, 154, 1525858.9301878503, 6676260.880478421, 9810.524253593703, -1315.7590580803949, -1.8935241676562142,-8.284947629599884
155, 155, 1535667.5609172764, 6674936.8364727115, 9808.630729426048, -1324.0440057099947, -1.9049436682881757,-8.280033378622075
156, 156, 1545474.286703034, 6673604.512433623, 9806.725785757759, -1332.3240390886167, -1.9163468201730178,-8.275091275557337
157, 157, 1555279.0961419716, 6672263.913303259, 9804.809438937586, -1340.599130364174, -1.9277335389733525,-8.270121393943148
158, 158, 1565081.9778473703, 6670915.044051501, 9802.881705398613, -1348.8692517581171, -1.9391037407331218,-8.265123807651836
159, 159, 1574882.9204490283, 6669557.909675935, 9800.94260165788, -1357.134375565769, -1.9504573418790447,-8.260098590888182
160, 160, 1584681.9125933442, 6668192.515201779, 9798.992144316, -1365.3944741566572, -1.9617942592220416,-8.255045818186984
161, 161, 1594478.942943401, 6666818.865681804, 9797.030350056779, -1373.6495199748442, -1.9731144099586495,-8.249965564410646
162, 162, 1604274.0001790477, 6665436.966196264, 9795.05723564682, -1381.8994855392548, -1.9844177116724138,-8.244857904746747
163, 163, 1614067.0729969828, 6664046.82185282, 9793.072817935148, -1390.1443434440016, -1.9957040823352674,-8.2397229147056
164, 164, 1623858.1501108357, 6662648.437786461, 9791.077113852813, -1398.3840663587073, -2.006973440308892,-8.234560670117814
165, 165, 1633647.2202512482, 6661241.819159432, 9789.070140412503, -1406.6186270288251, -2.018225704346058,-8.22937124713183
166, 166, 1643434.2721659564, 6659826.971161156, 9787.051914708158, -1414.847998275957, -2.0294607935919595,-8.224154722211491
167, 167, 1653219.294619871, 6658403.899008158, 9785.022453914566, -1423.0721529981686, -2.0406786275855184,-8.218911172133566
168, 168, 1663002.2763951581, 6656972.6079439875, 9782.98177528698, -1431.2910641703022, -2.0518791262606757,-8.213640673985267
169, 169, 1672783.2062913189, 6655533.103239143, 9780.92989616072, -1439.5047048442875, -2.063062209947673,-8.208343305161803
170, 170, 1682562.0731252697, 6654085.390190993, 9778.866833950773, -1447.7130481494494, -2.0742277993743086,-8.203019143363878
171, 171, 1692338.8657314212, 6652629.4741237005, 9776.792606151399, -1455.9160672928133, -2.0853758156671804,-8.19766826659523
172, 172, 1702113.572961757, 6651165.360388141, 9774.707230335733, -1464.1137355594085, -2.0965061803529097,-8.192290753160114
173, 173, 1711886.1836859123, 6649693.054361829, 9772.61072415538, -1472.3060263125685, -2.1076188153593507,-8.186886681660829
174, 174, 1721656.6867912523, 6648212.561448835, 9770.50310534002, -1480.4929129942293, -2.118713643016779,-8.1814561309952
175, 175, 1731425.0711829492, 6646723.887079709, 9768.384391697004, -1488.6743691252245, -2.1297905860590682,-8.175999180354083
176, 176, 1741191.3257840602, 6645227.036711403, 9766.254601110944, -1496.8503683055785, -2.140849567624845,-8.170515909218857
177, 177, 1750955.4395356034, 6643722.015827188, 9764.11375154332, -1505.0208842147974, -2.151890511258628,-8.165006397358903
178, 178, 1760717.4013966355, 6642208.829936576, 9761.961861032061, -1513.1858906121563, -2.162913340911951,-8.159470724829081
179, 179, 1770477.2003443267, 6640687.484575239, 9759.79894769115, -1521.3453613369854, -2.173917980944469,-8.153908971967219
180, 180, 1780234.8253740368, 6639157.98530493, 9757.625029710205, -1529.4992703089526, -2.1849043561250423,-8.148321219391566
181, 181, 1789990.265499391, 6637620.337713402, 9755.44012535408, -1537.6475915283443, -2.195872391632816,-8.142707547998286
182, 182, 1799743.5097523534, 6636074.547414325, 9753.244252962448, -1545.7902990763425, -2.2068220130582596,-8.137068038958883
183, 183, 1809494.5471833027, 6634520.62004721, 9751.03743094939, -1553.9273671153014, -2.21775314640422,-8.131402773717708
184, 184, 1819243.3668611057, 6632958.561277321, 9748.819677802985, -1562.0587698890192, -2.2286657180869263,-8.125711833989365
185, 185, 1828989.9578731905, 6631388.376795597, 9746.591012084898, -1570.1844817230085, -2.2395596549370036,-8.119995301756214
186, 186, 1838734.3093256205, 6629810.072318573, 9744.35145242996, -1578.3044770247648, -2.250434884200448,-8.11425325926577
187, 187, 1848476.4103431662, 6628223.653588288, 9742.10101754576, -1586.4187302840305, -2.261291333539603,-8.108485789028187
188, 188, 1858216.2500693784, 6626629.126372215, 9739.83972621222, -1594.5272160730588, -2.2721289310341026,-8.102692973813676
189, 189, 1867953.8176666596, 6625026.496463168, 9737.567597281186, -1602.6299090468724, -2.2829476051818136,-8.09687489664997
190, 190, 1877689.1023163355, 6623415.769679225, 9735.284649676005, -1610.7267839435224, -2.2937472848997396,-8.091031640819716
191, 191, 1887422.0932187266, 6621796.951863641, 9732.990902391106, -1618.817815584342, -2.304527899524931,-8.085163289857956
192, 192, 1897152.7795932181, 6620170.048884767, 9730.68637449158, -1626.9029788742, -2.3152893788153643,-8.07926992754953
193, 193, 1906881.1506783308, 6618535.066635965, 9728.371085112765, -1634.9822488017496, -2.3260316529508036,-8.073351637926521
194, 194, 1916607.1957317905, 6616892.011035525, 9726.045053459815, -1643.0556004396763, -2.336754652533647,-8.067408505265647
195, 195, 1926330.9040305978, 6615240.88802658, 9723.708298807282, -1651.1230089449418, -2.3474583085897667,-8.06144061408573
196, 196, 1936052.2648710965, 6613581.703577021, 9721.360840498692, -1659.1844495590276, -2.358142552569307,-8.055448049145078
197, 197, 1945771.2675690425, 6611914.463679413, 9719.002697946122, -1667.2398976081727, -2.368807316347494,-8.049430895438924
198, 198, 1955487.9014596723, 6610239.17435091, 9716.633890629775, -1675.2893285036116, -2.37945253222541,-8.043389238196854
199, 199, 1965202.1558977698, 6608555.841633168, 9714.25443809755, -1683.3327177418084, -2.390078132930753,-8.037323162880185
200, 200, 1974914.0202577345, 6606864.471592263, 9711.86435996462, -1691.3700409046887, -2.4006840516185814,-8.031232755179412
201, 201, 1984623.4839336474, 6605165.070318604, 9709.463675913, -1699.4012736598681, -2.411270221872048,-8.025118101011612
202, 202, 1994330.5363393386, 6603457.643926843, 9707.052405691129, -1707.4263917608798, -2.4218365777031026,-8.018979286517844
203, 203, 2004035.166908452, 6601742.1985557955, 9704.630569113426, -1715.4453710473977, -2.432383053553189,-8.012816398060567
204, 204, 2013737.365094512, 6600018.74036835, 9702.198186059872, -1723.4581874454582, -2.442909584293923,-8.006629522221049
205, 205, 2023437.1203709876, 6598287.275551382, 9699.755276475578, -1731.4648169676793, -2.4534161052277517,-8.00041874579678
206, 206, 2033134.422231358, 6596547.810315669, 9697.301860370351, -1739.4652357134762, -2.4639025520885887,-7.994184155798848
207, 207, 2042829.2601891763, 6594800.3508958, 9694.837957818263, -1747.459419869275, -2.474368861042454,-7.987925839449397
208, 208, 2052521.6237781334, 6593044.903550091, 9692.36358895722, -1755.4473457087245, -2.484814968688064,-7.9816438841789665
209, 209, 2062211.5025521219, 6591281.474560498, 9689.878773988532, -1763.4289895929035, -2.4952408120574434,-7.975338377623967
210, 210, 2071898.8860852984, 6589510.070232527, 9687.383533176475, -1771.4043279705274, -2.5056463286164834,-7.969009407624023
211, 211, 2081583.7639721462, 6587730.69689515, 9684.877886847858, -1779.3733373781515, -2.516031456265507,-7.962657062219417
212, 212, 2091266.1258275378, 6585943.360900709, 9682.361855391593, -1787.335994440371, -2.52639613333981,-7.956281429648472
213, 213, 2100945.9612867963, 6584148.068624839, 9679.835459258253, -1795.2922758700195, -2.536740298610182,-7.949882598344961
214, 214, 2110623.260005756, 6582344.82646637, 9677.298718959642, -1803.2421584683643, -2.5470638912834147,-7.9434606569355095
215, 215, 2120298.011660824, 6580533.640847245, 9674.75165506836, -1811.1856191252998, -2.5573668510027954,-7.937015694237006
216, 216, 2129970.2059490415, 6578714.5182124255, 9672.194288217357, -1819.1226348195369, -2.567649117848578,-7.930547799254003
217, 217, 2139639.832588141, 6576887.465029807, 9669.626639099508, -1827.053182618791, -2.577910632338439,-7.924057061176118
218, 218, 2149306.881316608, 6575052.487790127, 9667.048728467169, -1834.9772396799672, -2.588151335427917,-7.917543569375429
219, 219, 2158971.3418937395, 6573209.593006878, 9664.460577131742, -1842.8947832493427, -2.5983711685108446,-7.911007413403916
220, 220, 2168633.2040997026, 6571358.787216215, 9661.86220596323, -1850.8057906627466, -2.6085700734197435,-7.9044486829908305
221, 221, 2178292.4577355925, 6569500.076976869, 9659.25363588981, -1858.7102393457374, -2.618747992426225,-7.897867468040126
222, 222, 2187949.09262349, 6567633.468870056, 9656.634887897384, -1866.6081068137776, -2.6289048682413556,-7.891263858627853
223, 223, 2197603.098606519, 6565758.969499383, 9654.005983029143, -1874.4993706724053, -2.639040644016019,-7.884637944999575
224, 224, 2207254.465548904, 6563876.585490766, 9651.366942385126, -1882.384008617405, -2.649155263341258,-7.877989817567793
225, 225, 2216903.183336026, 6561986.323492331, 9648.717787121785, -1890.2619984349728, -2.6592486702485947,-7.871319566909332
226, 226, 2226549.2418744774, 6560088.190174329, 9646.058538451536, -1898.1333180018821, -2.669320809210344,-7.864627283762786
227, 227, 2236192.6310921195, 6558182.192229044, 9643.389217642325, -1905.9979452856448, -2.679371625139897,-7.857913059025905
228, 228, 2245833.340938137, 6556268.336370699, 9640.709846017186, -1913.8558583446707, -2.6894010633920034,-7.8511769837530325
229, 229, 2255471.3613830907, 6554346.629335371, 9638.020444953794, -1921.7070353284237, -2.6994090697630275,-7.8444191491525235
